City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,punta arenas,-53.15,-70.9167,10.06,53,20,16.46,CL,1725483018
245,caleta de carquin,-11.0925,-77.6267,18.24,73,11,5.08,PE,1725483020
246,taroa,8.7058,171.2275,28.74,80,100,8.53,MH,1725483021
247,shagonar,51.5333,92.8,11.4,68,73,0.36,RU,1725483023
248,kristiansund,63.1115,7.732,14.36,88,75,0.51,NO,1725483024
249,irymple,-34.25,142.1667,15.75,24,100,8.54,AU,1725483026
250,udachny,66.4167,112.4,2.6,92,100,7.49,RU,1725483027
251,san antonio de pale,-1.4014,5.6325,24.38,85,100,5.52,GQ,1725483029
252,cannonvale,-20.2833,148.7,20.66,67,99,8.42,AU,1725483031
253,genhe,50.7833,121.5167,5.03,75,100,1.14,CN,1725483032
254,zag,46.9441,99.165,5.77,40,0,0.71,MN,1725483033
255,labytnangi,66.6572,66.4183,6.36,87,29,2.08,RU,1725483035
256,alesund,62.4723,6.1549,15.74,94,75,3.6,NO,1725483036
257,umba,66.6871,34.3429,13.48,89,93,2.06,RU,1725483038
258,manokwari,-0.8667,134.0833,25.57,77,100,1.65,ID,1725483039
259,san ignacio de velasco,-16.3667,-60.95,36.67,16,0,2.15,BO,1725483041
260,eagle mountain,40.3141,-112.0069,25.95,31,0,6.26,US,1725483042
261,lerwick,60.1545,-1.1494,11.85,86,4,4.09,GB,1725483043
262,khargupur,27.3833,81.9833,27.42,78,60,2.43,IN,1725483045
263,uyar,55.81,94.3153,8.93,97,99,1.64,RU,1725483046
264,kili,5.6439,169.1211,28.27,76,100,4.38,MH,1725483047
265,fort mcmurray,56.7268,-111.381,18.77,55,75,4.12,CA,1725483049
266,labrador city,52.9463,-66.9114,17.88,56,75,7.2,CA,1725483050
267,salekhard,66.53,66.6019,6.2,86,38,1.91,RU,1725483051
268,kingsland,30.8,-81.6898,27.17,89,90,4.65,US,1725483053
269,kaohsiung,22.6163,120.3133,28.35,91,75,1.54,TW,1725483054
270,harrismith,-28.2728,29.1295,12.67,34,0,1.98,ZA,1725483055
271,kapa'a,22.0752,-159.319,28.6,64,0,4.63,US,1725483057
272,luganville,-15.5333,167.1667,25.62,59,80,5.42,VU,1725483058
273,timbiqui,2.7717,-77.6654,27.39,79,70,3.6,CO,1725483059
274,zeya,53.75,127.2667,8.81,67,13,4.12,RU,1725483061
275,nelson bay,-32.7167,152.15,12.78,91,0,0.45,AU,1725483062
276,melfort,52.8667,-104.6177,17.07,51,100,4.12,CA,1725483064
277,kalengwa,-13.4659,25.0027,14.67,39,0,2.65,ZM,1725483065
278,saint croix,17.7397,-64.7388,31.25,80,20,5.66,VI,1725483066
279,cidade velha,14.9167,-23.6167,28.26,78,75,3.6,CV,1725483068
